1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:violations 9:bad_histories 10:all_histories 11:covered 12:c0_violations 13:c0_bad_histories 14:c0_all_histories 15:c0_covered 16:c1_violations 17:c1_bad_histories 18:c1_all_histories 19:c1_covered 20:c2_violations 21:c2_bad_histories 22:c2_all_histories 23:c2_covered 24:c3_violations 25:c3_bad_histories 26:c3_all_histories 27:c3_covered 28:c4_violations 29:c4_bad_histories 30:c4_all_histories 31:c4_covered
Lin_vs_counting 2 3 3 4 2785 1.98 170 16 182 - 0 0 4 0 5 1 96 6 30 8 167 16 156 15 176 16 170 16 176 16
Lin_vs_counting 2 4 3 4 5244 6.16 917 37 333 - 0 0 4 0 9 1 125 8 46 9 253 37 386 21 291 37 891 30 292 37
Lin_vs_counting 3 1 3 4 1620 0.72 342 26 108 - 0 0 4 0 44 5 59 26 326 20 101 26 342 26 108 26 342 26 108 26
Lin_vs_counting 3 2 3 4 2991 1.95 477 54 252 - 0 0 7 0 61 3 133 16 144 22 241 54 451 46 252 54 477 54 252 54
Lin_vs_counting 3 3 3 4 5323 5.56 1445 140 506 - 0 0 8 0 58 3 229 22 121 22 464 104 677 68 506 140 1407 130 506 140
Lin_vs_counting 3 4 3 4 9771 14.09 3802 249 783 - 0 0 8 0 65 3 249 23 81 14 564 23 491 46 743 232 2359 139 765 249
Lin_vs_counting 4 1 3 4 3415 2.5 1344 124 276 - 0 0 4 0 59 6 141 124 750 36 257 124 1313 108 276 124 1344 124 276 124
Lin_vs_counting 4 2 3 4 5664 5.75 1639 164 522 - 0 0 10 0 3 2 249 4 75 14 494 162 914 62 522 164 1595 144 522 164
Lin_vs_counting 4 3 3 4 9598 16.87 4466 647 1245 - 0 0 14 0 435 44 485 236 773 176 1057 275 1624 316 1243 647 3343 478 1245 647
Lin_vs_counting 4 4 3 4 16532 39.16 7808 790 1688 - 0 0 15 0 166 6 439 89 269 40 1065 115 340 95 1536 133 1842 239 1685 761
Lin_vs_counting 1 1 4 4 284 0.04 0 0 4 - 0 0 2 0 0 0 4 0 0 0 4 0 0 0 4 0 0 0 4 0
Lin_vs_counting 1 2 4 4 1581 0.47 0 0 21 - 0 0 2 0 0 0 15 0 0 0 18 0 0 0 18 0 0 0 18 0
Lin_vs_counting 1 3 4 4 8112 4.56 0 0 118 - 0 0 2 0 0 0 33 0 0 0 71 0 0 0 74 0 0 0 74 0
Lin_vs_counting 1 4 4 4 17693 27.93 0 0 357 - 0 0 2 0 0 0 57 0 0 0 157 0 0 0 190 0 0 0 192 0
Lin_vs_counting 2 1 4 4 1923 0.66 77 5 33 - 0 0 3 0 59 3 25 5 77 5 33 5 77 5 33 5 77 5 33 5
Lin_vs_counting 2 2 4 4 8808 4.28 84 16 182 - 0 0 4 0 16 3 84 9 62 13 172 16 84 16 182 16 84 16 182 16
Lin_vs_counting 2 3 4 4 23177 19.93 686 40 483 - 0 0 4 0 37 3 165 18 190 19 399 40 652 37 459 40 686 40 465 40
Lin_vs_counting 2 4 4 4 49621 94.46 6159 82 1010 - 0 0 4 0 46 3 231 26 353 21 643 82 3340 53 813 82 6085 66 832 82
Lin_vs_counting 3 1 4 4 10925 6.55 1694 53 221 - 0 0 4 0 355 9 84 53 1647 45 200 53 1694 53 221 53 1694 53 221 53
Lin_vs_counting 3 2 4 4 23879 20.3 2093 128 668 - 0 0 7 0 255 11 235 64 705 64 573 128 2039 117 660 128 2093 128 668 128
Lin_vs_counting 3 3 4 4 50580 66.85 10139 319 1563 - 0 0 8 0 241 11 482 76 901 71 1296 319 6039 200 1543 319 10037 309 1563 319
Lin_vs_counting 3 4 4 4 111428 233.31 35334 691 2825 - 0 0 8 0 302 11 631 107 847 72 1873 512 7606 199 2617 691 26800 461 2742 691
Lin_vs_counting 4 1 4 4 28418 27.42 8882 246 702 - 0 0 5 0 494 9 217 246 5911 95 593 246 8801 227 693 246 8882 246 702 246
Lin_vs_counting 4 2 4 4 52182 77.57 11970 501 1729 - 0 0 11 0 425 27 537 107 1649 92 1467 501 8392 267 1710 501 11850 462 1729 501
