1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:seq_histories 9:seq_time 10:avg_lins 11:max_lins
Linearization_no_atomic 7 9 3 - 62720 1389.63 - - 307 3360
Unmonitored 7 10 3 - 73684 6.76 - - - -
Counting 7 10 3 2 73684 18.04 - - - -
Linearization_no_atomic 7 10 3 - 73684 2089.71 - - 364 4080
Unmonitored 8 1 3 - 15343 0.61 - - - -
Counting 8 1 3 2 15343 1.3 - - - -
Linearization_no_atomic 8 1 3 - 15343 40.09 - - 57 504
Unmonitored 8 2 3 - 19763 0.87 - - - -
Counting 8 2 3 2 19763 1.86 - - - -
Linearization_no_atomic 8 2 3 - 19763 73.29 - - 79 720
Unmonitored 8 3 3 - 24999 1.51 - - - -
Counting 8 3 3 2 24999 2.56 - - - -
Linearization_no_atomic 8 3 3 - 24999 125.24 - - 105 990
Unmonitored 8 4 3 - 31087 1.6 - - - -
Counting 8 4 3 2 31087 6.08 - - - -
Linearization_no_atomic 8 4 3 - 31087 237.63 - - 136 1320
Unmonitored 8 5 3 - 38091 4.29 - - - -
Counting 8 5 3 2 38091 4.85 - - - -
Linearization_no_atomic 8 5 3 - 38091 403.92 - - 172 1716
Unmonitored 8 6 3 - 46075 2.6 - - - -
Counting 8 6 3 2 46075 6.34 - - - -
Linearization_no_atomic 8 6 3 - 46075 611.13 - - 213 2184
Unmonitored 8 7 3 - 55145 10.25 - - - -
Counting 8 7 3 2 55145 12.58 - - - -
Linearization_no_atomic 8 7 3 - 55145 964.32 - - 259 2730
Unmonitored 8 8 3 - 65317 4.21 - - - -
Counting 8 8 3 2 65317 12.2 - - - -
Linearization_no_atomic 8 8 3 - 65317 1546.69 - - 312 3360
Unmonitored 8 9 3 - 76773 6.63 - - - -
Counting 8 9 3 2 76773 18.46 - - - -
Linearization_no_atomic 8 9 3 - 76773 2401.55 - - 370 4080
Unmonitored 8 10 3 - 89333 23.46 - - - -
Counting 8 10 3 2 89333 21.69 - - - -
Linearization_no_atomic 8 10 3 - 89333 3495.36 - - 435 4896
Unmonitored 9 1 3 - 21088 0.97 - - - -
Counting 9 1 3 2 21088 3.15 - - - -
Linearization_no_atomic 9 1 3 - 21088 74.85 - - 76 720
Unmonitored 9 2 3 - 26508 1.29 - - - -
Counting 9 2 3 2 26508 2.9 - - - -
Linearization_no_atomic 9 2 3 - 26508 131.16 - - 103 990
Unmonitored 9 3 3 - 32824 1.72 - - - -
Counting 9 3 3 2 32824 3.95 - - - -
Linearization_no_atomic 9 3 3 - 32824 232.03 - - 135 1320
Unmonitored 9 4 3 - 40072 7.1 - - - -
Counting 9 4 3 2 40072 5.18 - - - -
Linearization_no_atomic 9 4 3 - 40072 387.42 - - 171 1716
Unmonitored 9 5 3 - 48316 2.83 - - - -
Counting 9 5 3 2 48316 15.81 - - - -
Linearization_no_atomic 9 5 3 - 48316 649.76 - - 213 2184
Unmonitored 9 6 3 - 57620 3.62 - - - -
Counting 9 6 3 2 57620 14.22 - - - -
Linearization_no_atomic 9 6 3 - 57620 1010.53 - - 261 2730
Unmonitored 9 7 3 - 68048 4.46 - - - -
Counting 9 7 3 2 68048 13.98 - - - -
Linearization_no_atomic 9 7 3 - 68048 1692.73 - - 314 3360
Unmonitored 9 8 3 - 79710 14.17 - - - -
Counting 9 8 3 2 79710 14.03 - - - -
Linearization_no_atomic 9 8 3 - 79710 2540.34 - - 374 4080
Unmonitored 9 9 3 - 92618 18.41 - - - -
Counting 9 9 3 2 92618 29.78 - - - -
Linearization_no_atomic 9 9 3 - 92618 3747.56 - - 441 4896
Unmonitored 9 10 3 - 106966 8.39 - - - -
Counting 9 10 3 2 106966 31.81 - - - -
Linearization_no_atomic 9 10 3 - 106966 4923.11 - - 513 5814
Unmonitored 10 1 3 - 28098 5.95 - - - -
Counting 10 1 3 2 28098 10.23 - - - -
Linearization_no_atomic 10 1 3 - 28098 133.26 - - 100 990
Unmonitored 10 2 3 - 34618 1.86 - - - -
Counting 10 2 3 2 34618 4.52 - - - -
Linearization_no_atomic 10 2 3 - 34618 236.37 - - 132 1320
Unmonitored 10 3 3 - 42114 2.37 - - - -
Counting 10 3 3 2 42114 5.85 - - - -
Linearization_no_atomic 10 3 3 - 42114 405.37 - - 169 1716
Unmonitored 10 4 3 - 50622 2.97 - - - -
Counting 10 4 3 2 50622 7.59 - - - -
Linearization_no_atomic 10 4 3 - 50622 662.49 - - 212 2184
Unmonitored 10 5 3 - 60206 4.4 - - - -
Counting 10 5 3 2 60206 9.78 - - - -
Linearization_no_atomic 10 5 3 - 60206 1051.96 - - 260 2730
Unmonitored 10 6 3 - 70930 5.12 - - - -
Counting 10 6 3 2 70930 12.92 - - - -
Linearization_no_atomic 10 6 3 - 70930 1780.24 - - 315 3360
Unmonitored 10 7 3 - 82858 5.91 - - - -
Counting 10 7 3 2 82858 15.55 - - - -
Linearization_no_atomic 10 7 3 - 82858 2429.96 - - 376 4080
Unmonitored 10 8 3 - 96054 12.03 - - - -
Counting 10 8 3 2 96054 22.52 - - - -
Linearization_no_atomic 10 8 3 - 96054 3914.45 - - 444 4896
Unmonitored 10 9 3 - 110632 8.86 - - - -
Counting 10 9 3 2 110632 34.01 - - - -
Linearization_no_atomic 10 9 3 - 110632 5658.19 - - 519 5814
Unmonitored 10 10 3 - 126600 10.86 - - - -
Counting 10 10 3 2 126600 43.39 - - - -
Linearization_no_atomic 10 10 3 - 126600 8306.54 - - 601 6840
