1:adds 2:removes 3:delays 4:barriers 5:executions 6:time 7:bad_executions 8:bad_histories 9:covered 10:c_executions 11:c_histories
3 1 0 0 1 0.0 0 0 0 0 0
3 1 0 1 1 0.0 0 0 0 0 0
3 1 0 2 1 0.0 0 0 0 0 0
3 1 0 3 1 0.0 0 0 0 0 0
3 1 0 4 1 0.0 0 0 0 0 0
3 2 0 0 1 0.0 0 0 0 0 0
3 2 0 1 1 0.0 0 0 0 0 0
3 2 0 2 1 0.0 0 0 0 0 0
3 2 0 3 1 0.0 0 0 0 0 0
3 2 0 4 1 0.0 0 0 0 0 0
3 3 0 0 1 0.0 0 0 0 0 0
3 3 0 1 1 0.0 0 0 0 0 0
3 3 0 2 1 0.0 0 0 0 0 0
3 3 0 3 1 0.0 0 0 0 0 0
3 3 0 4 1 0.0 0 0 0 0 0
3 4 0 0 1 0.0 0 0 0 0 0
3 4 0 1 1 0.0 0 0 0 0 0
3 4 0 2 1 0.0 0 0 0 0 0
3 4 0 3 1 0.0 0 0 0 0 0
3 4 0 4 1 0.0 0 0 0 0 0
4 1 0 0 1 0.0 0 0 0 0 0
4 1 0 1 1 0.0 0 0 0 0 0
4 1 0 2 1 0.0 0 0 0 0 0
4 1 0 3 1 0.0 0 0 0 0 0
4 1 0 4 1 0.0 0 0 0 0 0
4 2 0 0 1 0.0 0 0 0 0 0
4 2 0 1 1 0.0 0 0 0 0 0
4 2 0 2 1 0.0 0 0 0 0 0
4 2 0 3 1 0.0 0 0 0 0 0
4 2 0 4 1 0.0 0 0 0 0 0
4 3 0 0 1 0.0 0 0 0 0 0
4 3 0 1 1 0.0 0 0 0 0 0
4 3 0 2 1 0.0 0 0 0 0 0
4 3 0 3 1 0.0 0 0 0 0 0
4 3 0 4 1 0.0 0 0 0 0 0
4 4 0 0 1 0.0 0 0 0 0 0
4 4 0 1 1 0.0 0 0 0 0 0
4 4 0 2 1 0.0 0 0 0 0 0
4 4 0 3 1 0.0 0 0 0 0 0
4 4 0 4 1 0.0 0 0 0 0 0
1 1 1 0 6 0.0 0 0 0 0 0
1 1 1 1 6 0.0 0 0 0 0 0
1 1 1 2 6 0.0 0 0 0 0 0
1 1 1 3 6 0.0 0 0 0 0 0
1 1 1 4 6 0.0 0 0 0 0 0
1 2 1 0 7 0.0 0 0 0 0 0
1 2 1 1 7 0.0 0 0 0 0 0
1 2 1 2 7 0.0 0 0 0 0 0
1 2 1 3 7 0.0 0 0 0 0 0
1 2 1 4 7 0.0 0 0 0 0 0
1 3 1 0 8 0.0 0 0 0 0 0
1 3 1 1 8 0.0 0 0 0 0 0
1 3 1 2 8 0.0 0 0 0 0 0
1 3 1 3 8 0.0 0 0 0 0 0
1 3 1 4 8 0.0 0 0 0 0 0
1 4 1 0 9 0.0 0 0 0 0 0
1 4 1 1 9 0.0 0 0 0 0 0
1 4 1 2 9 0.0 0 0 0 0 0
1 4 1 3 9 0.0 0 0 0 0 0
1 4 1 4 9 0.0 0 0 0 0 0
2 1 1 0 11 0.0 0 0 0 0 0
2 1 1 1 11 0.0 0 0 0 0 0
2 1 1 2 11 0.0 0 0 0 0 0
2 1 1 3 11 0.0 0 0 0 0 0
2 1 1 4 11 0.0 0 0 0 0 0
2 2 1 0 12 0.0 0 0 0 0 0
2 2 1 1 12 0.0 0 0 0 0 0
2 2 1 2 12 0.0 0 0 0 0 0
2 2 1 3 12 0.0 0 0 0 0 0
2 2 1 4 12 0.0 0 0 0 0 0
2 3 1 0 13 0.0 0 0 0 0 0
2 3 1 1 13 0.0 0 0 0 0 0
2 3 1 2 13 0.0 0 0 0 0 0
2 3 1 3 13 0.0 0 0 0 0 0
2 3 1 4 13 0.0 0 0 0 0 0
2 4 1 0 14 0.0 0 0 0 0 0
2 4 1 1 14 0.0 0 0 0 0 0
2 4 1 2 14 0.0 0 0 0 0 0
2 4 1 3 14 0.0 0 0 0 0 0
2 4 1 4 14 0.0 0 0 0 0 0
3 1 1 0 16 0.0 3 1 0 0 0
3 1 1 1 16 0.0 3 1 0 0 0
3 1 1 2 16 0.0 3 1 1 3 1
3 1 1 3 16 0.0 3 1 1 3 1
3 1 1 4 16 0.0 3 1 1 3 1
3 2 1 0 17 0.0 3 1 0 0 0
3 2 1 1 17 0.0 3 1 0 0 0
3 2 1 2 17 0.0 3 1 0 0 0
3 2 1 3 17 0.0 3 1 1 3 1
3 2 1 4 17 0.0 3 1 1 3 1
