1:adds 2:removes 3:delays 4:barriers 5:executions 6:time 7:mode
4 2 4 2 39498 1.74 NoVerify
4 2 4 2 39739 1.86 Counting
4 2 4 0 37311 26.12 Linearization
4 3 4 0 76678 3.0 Unmonitored
4 3 4 2 77304 3.86 NoVerify
4 3 4 2 77516 4.13 Counting
4 3 4 0 76112 102.16 Linearization
4 4 4 0 152307 6.69 Unmonitored
4 4 4 2 152474 8.45 NoVerify
4 4 4 2 152385 9.39 Counting
4 4 4 0 ? ? Linearization
1 1 5 0 678 0.01 Unmonitored
1 1 5 2 678 0.01 NoVerify
1 1 5 2 678 0.01 Counting
1 1 5 0 678 0.03 Linearization
1 2 5 0 5693 0.17 Unmonitored
1 2 5 2 5680 0.15 NoVerify
1 2 5 2 5685 0.15 Counting
1 2 5 0 5759 0.41 Linearization
1 3 5 0 36970 0.91 Unmonitored
1 3 5 2 36765 1.09 NoVerify
1 3 5 2 37678 1.09 Counting
1 3 5 0 38093 5.39 Linearization
1 4 5 0 99172 2.89 Unmonitored
1 4 5 2 98346 3.14 NoVerify
1 4 5 2 98995 3.29 Counting
1 4 5 0 99834 31.75 Linearization
2 1 5 0 9244 0.2 Unmonitored
2 1 5 2 9244 0.23 NoVerify
2 1 5 2 9244 0.23 Counting
2 1 5 0 9244 0.69 Linearization
2 2 5 0 39183 1.76 Unmonitored
2 2 5 2 39562 1.2 NoVerify
2 2 5 2 39377 1.17 Counting
2 2 5 0 39030 6.45 Linearization
2 3 5 0 115785 3.65 Unmonitored
2 3 5 2 116130 3.98 NoVerify
2 3 5 2 115730 4.21 Counting
2 3 5 0 115229 42.13 Linearization
2 4 5 0 354465 12.02 Unmonitored
2 4 5 2 354542 14.51 NoVerify
2 4 5 2 354736 14.82 Counting
2 4 5 0 354642 257.48 Linearization
3 1 5 0 44506 1.18 Unmonitored
3 1 5 2 44506 1.32 NoVerify
3 1 5 2 44506 1.37 Counting
3 1 5 0 44506 7.87 Linearization
3 2 5 0 120820 3.84 Unmonitored
3 2 5 2 121702 4.15 NoVerify
3 2 5 2 120549 4.47 Counting
3 2 5 0 119947 55.73 Linearization
3 3 5 0 324203 12.07 Unmonitored
3 3 5 2 324746 15.29 NoVerify
3 3 5 2 324282 16.1 Counting
3 3 5 0 ? ? Linearization
3 4 5 0 792868 36.63 Unmonitored
3 4 5 2 792869 40.97 NoVerify
3 4 5 2 792655 41.74 Counting
3 4 5 0 ? ? Linearization
4 1 5 0 141840 4.77 Unmonitored
4 1 5 2 141840 5.61 NoVerify
4 1 5 2 141840 6.36 Counting
4 1 5 0 141840 64.9 Linearization
4 2 5 0 297521 11.47 Unmonitored
4 2 5 2 297695 13.05 NoVerify
4 2 5 2 297450 13.72 Counting
4 2 5 0 ? ? Linearization
4 3 5 0 706745 30.75 Unmonitored
4 3 5 2 706537 37.57 NoVerify
4 3 5 2 707203 38.73 Counting
4 3 5 0 ? ? Linearization
4 4 5 0 1604553 77.99 Unmonitored
4 4 5 2 1604008 97.3 NoVerify
4 4 5 2 1604840 105.43 Counting
4 4 5 0 ? ? Linearization
